Time (s),Available Memory (MB)
0.2731306,1685254144
0.37781,1685983232
0.4828154,1684914176
0.5871269,1682149376
0.6911470000000001,1682149376
0.7955429,1682710528
0.8998759,1680273408
1.0041927,1679986688
1.1086912,1679917056
1.2136209,1679847424
1.3179719,1680400384
1.4226193,1678446592
1.5270118,1677156352
1.6308653,1676324864
1.735531,1673019392
1.8399807,1673748480
1.9445884,1673748480
2.0492902,1674080256
2.1538537,1674252288
2.2580291,1674518528
2.3624646,1675210752
2.4677115,1675403264
2.5801678,1674240000
2.684652,1680470016
2.7888869,1678589952
2.893101,1676521472
2.9970281,1676558336
3.1009523,1680584704
3.204953,1685327872
3.3092887,1683226624
3.4137683,1682898944
3.518486,1684717568
3.6227192,1697804288
3.7272653,1690845184
3.8314914,1691480064
3.935813,1691750400
4.0417775,1700990976
4.146359,1699680256
4.2506213,1708392448
4.3550423,1706360832
4.459028,1706774528
4.5629072,1706131456
4.6673711,1706131456
4.7718938,1706815488
4.87652,1706815488
4.9808709,1696686080
0.0537835,1709522944
0.15879300000000002,1710120960
0.2633124,1710125056
0.36779090000000003,1710829568
0.4719871,1708879872
0.5760128999999999,1708879872
0.6802924,1708789760
0.7841568999999999,1708789760
0.8882097,1708818432
0.992754,1707524096
1.09734,1706622976
1.2016486,1706827776
1.3065151,1705951232
1.4109896,1702043648
1.5148211,1701015552
1.6194549,1700741120
1.7239418,1701838848
1.8279988,1701838848
1.9325693,1700581376
2.0372365,1700655104
2.1414049,1700171776
2.2463189,1703215104
2.3509369,1724104704
2.4553667,1723191296
2.5600396,1715261440
2.6642262,1723805696
2.7685268,1723772928
2.8744469,1723772928
2.9781836,1720242176
3.0829828,1726074880
3.1880614,1726754816
3.2923041,1726722048
3.3963238,1726722048
3.5011179,1726722048
3.6054717,1720991744
3.7099959,1723293696
3.8143194,1721225216
3.9187731,1721225216
4.0234281,1717649408
4.127894,1724375040
4.2329779,1724248064
4.3373714,1724293120
4.4420642,1724297216
4.5460652,1724362752
4.6504779,1714126848
4.7549747,1714298880
4.8597774,1715646464
4.963662,1716408320
0.0516583,1714528256
0.1560223,1712156672
0.2614212,1712201728
0.3662528,1712250880
0.4701053,1713061888
0.574747,1713909760
0.6789238000000001,1711611904
0.7830736,1711652864
0.8876819,1711431680
0.9918097,1712209920
1.0967972,1712451584
1.2010768,1712451584
1.3060136,1712414720
1.4102243,1712414720
1.5153516,1712820224
1.6200933,1712750592
1.7241118,1716187136
1.8287512,1730424832
1.9330948,1738825728
2.0371659,1739886592
2.1419096,1742721024
2.2458398,1786945536
2.3509603,1833627648
2.4558749,1863634944
2.560338,1875750912
2.6794886,1884069888
2.7841736,1897492480
2.8887078,1897353216
2.9939796,1897353216
3.0988655,1893044224
3.2036974,1891852288
3.3079437,1890918400
3.4121603,1894862848
3.5173855,1894907904
3.622213,1895751680
